Ecell/V	<I>/mA	Capacity/mA.h	cycle number	time/s	
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.200000246986747E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.300000251736492E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.400000256486237E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.500000261235982E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.600000265985727E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.700000270735472E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.800000275485218E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.900000280234963E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.000000284984708E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.100000289734453E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.200000294484198E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.300000299233943E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.400000303983688E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.500000308733433E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.600000313483179E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.700000318232924E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.800000322982669E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.900000327732414E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.000000332482159E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.100000337231904E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.200000341981649E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.300000346731395E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.400000351481140E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.500000356230885E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.600000360980630E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.700000365730375E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.800000370480120E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.900000375229865E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.000000379979610E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.100000384729356E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.200000389479101E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.300000394228846E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.400000398978591E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.500000403728336E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.600000408478081E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.700000413227826E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.800000417977571E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.900000422727317E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.000000427477062E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.100000432226807E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.200000436976552E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.300000441726297E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.400000446476042E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.500000451225787E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.600000455975533E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.700000460725278E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.800000465475023E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.900000470224768E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.000000047497451E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.010000047972426E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.020000048447400E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.030000048922375E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.040000049397349E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.050000049872324E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.060000050347298E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.070000050822273E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.080000051297247E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.090000051772222E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.100000052247196E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.110000052722171E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.120000053197145E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.130000053672120E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.140000054147094E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.150000054622069E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.160000055097044E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.170000055572018E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.180000056046993E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.190000056521967E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.200000056996942E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.210000057471916E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.220000057946891E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.230000058421865E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.240000058896840E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.250000059371814E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.260000059846789E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.270000060321763E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.280000060796738E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.290000061271712E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.300000061746687E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.310000062221661E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.320000062696636E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.330000063171610E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.340000063646585E+002
3.6170900E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.350000064121559E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.360000064596534E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.370000065071508E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.380000065546483E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.390000066021457E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.400000066496432E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.410000066971406E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.420000067446381E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.430000067921355E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.440000068396330E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.450000068871304E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.460000069346279E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.470000069821253E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.480000070296228E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.490000070771202E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.500000071246177E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.510000071721151E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.520000072196126E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.530000072671101E+002
3.6173656E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.540000073146075E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.550000073621050E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.560000074096024E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.570000074570999E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.580000075045973E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.590000075520948E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.600000075995922E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.610000076470897E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.620000076945871E+002
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.630000077420846E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.640000077895820E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.650000078370795E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.660000078845769E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.670000079320744E+002
